title,street,city,state,phone,website,category,segment,use_case_en,use_case_es
Bethel Family Ministries Assemblies of God,6301 Alabama St,El Paso,Texas,(915) 565-2222,,Assemblies of God church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
The Pentecostals of El Paso,4801 Sun Valley Dr,El Paso,Texas,(915) 257-1431,http://www.pentecostalsep.org/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Ascension Lutheran Church LCMS,6520 Loma De Cristo Dr,El Paso,Texas,(915) 833-1009,http://www.alconnect.faith/,Lutheran church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Legacy Church,1790 Commerce Park Dr A,El Paso,Texas,(505) 489-4408,https://legacychrch.org/,Non-denominational church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Sun City Baptist Church,1060 Doniphan Park Cir ste e,El Paso,Texas,,https://www.suncitybaptist.com/,Baptist church,church,"your Vacation Bible School, summer revivals, homecomings and outdoor baptisms","la Escuela Bíblica de Vacaciones, campañas de verano, aniversarios y bautizos al aire libre"
Templo La Trinidad AG,3417 Polk Ave,El Paso,Texas,(915) 255-9067,http://www.templolatrinidad.com/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Peace Lutheran Church,1699 Belvidere St,El Paso,Texas,(915) 584-1383,http://www.peacelutheranelp.com/,Lutheran church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Chabad Lubavitch of El Paso,6516 Escondido Dr,El Paso,Texas,(915) 584-8218,http://www.chabadelpaso.com/,Orthodox synagogue,church,"your outdoor services, Sukkot gatherings and community celebrations","los servicios al aire libre, celebraciones de Sukkot y eventos comunitarios"
Congregation B'nai Zion,805 Cherry Hill Ln,El Paso,Texas,(915) 833-2222,http://congregationbnaizion.org/,Conservative synagogue,church,"your outdoor services, Sukkot gatherings and community celebrations","los servicios al aire libre, celebraciones de Sukkot y eventos comunitarios"
Chabad,6615 Westwind Dr,El Paso,Texas,(915) 584-8218,https://www.chabadelpaso.com/,Synagogue,church,"your outdoor services, Sukkot gatherings and community celebrations","los servicios al aire libre, celebraciones de Sukkot y eventos comunitarios"
CT Worship,4525 Fairbanks Dr,El Paso,Texas,(915) 494-9000,http://ctworshipep.com/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Beth Israel Messianic Center,504 San Saba Rd,El Paso,Texas,(915) 203-3701,http://www.bethisraelep.org/,Messianic synagogue,church,"your outdoor services, Sukkot gatherings and community celebrations","los servicios al aire libre, celebraciones de Sukkot y eventos comunitarios"
The Church of Jesus Christ of Latter-day Saints,670 E Redd Rd,El Paso,Texas,(915) 265-7024,https://local.churchofjesuschrist.org/en/us/tx/el-paso/670-east-redd-road?utm_source=gmb&utm_medium=yext&y_source=1_NjcwODkxMDktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Christian church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
El Paso Bahá'í Community,100 Frontera Rd,El Paso,Texas,(208) 907-1844,http://www.elpasobahais.org/,Religious organization,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
The Church of Jesus Christ of Latter-day Saints,5510 Hondo Pass Dr,El Paso,Texas,(915) 755-4537,https://local.churchofjesuschrist.org/en/us/tx/el-paso/5510-hondo-pass-drive?utm_source=gmb&utm_medium=yext&y_source=1_NjcwODQ2MTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Christian church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Bethel Church of God,"Bethel Church meets at the Tobin Park United Methodist Church, 9410 Roanoke Dr",El Paso,Texas,(915) 474-3975,http://www.elpasobethelcog.org/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Sunrise Baptist Church,4225 Volcanic Ave,El Paso,Texas,(915) 755-6363,,Baptist church,church,"your Vacation Bible School, summer revivals, homecomings and outdoor baptisms","la Escuela Bíblica de Vacaciones, campañas de verano, aniversarios y bautizos al aire libre"
Oasis Community Church of El Paso,5070 Doniphan Dr,El Paso,Texas,(915) 422-0870,http://occelpaso.org/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
St. Jude Catholic Church,4006 Hidden Way,El Paso,Texas,(915) 584-1095,https://www.sanjudaselpaso.com/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Apollo Heights Baptist Church,10450 Kenworthy St,El Paso,Texas,(915) 821-7352,http://apolloheights.org/,Baptist church,church,"your Vacation Bible School, summer revivals, homecomings and outdoor baptisms","la Escuela Bíblica de Vacaciones, campañas de verano, aniversarios y bautizos al aire libre"
St. Mark's United Methodist Church,5005 Love Rd,El Paso,Texas,(915) 581-4444,http://www.loveroad.org/,United Methodist church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Holy Ghost Tabernacle,4727 Hondo Pass Dr #E,El Paso,Texas,,http://hgtelpaso.com/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Christ the King Presbyterian Church (PCA),1500 Resler Dr,El Paso,Texas,(915) 585-2264,http://www.ctkpca.com/,Presbyterian church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
World Mission Society Church of God,9210 Dyer St,El Paso,Texas,(619) 991-1126,https://wmscog.com/,Religious organization,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
City Church,10152 Dyer St,El Paso,Texas,(915) 549-5292,http://www.citychurchusa.com/,Foursquare church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
FULL GOSPEL EL PASO KOREAN CHURCH,5318 Harlan Dr,El Paso,Texas,(915) 751-9191,http://www.epfgtv.com/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
엘파소 한인 장로교회 El Paso Korean Presbyterian Church,4935 Hondo Pass Dr,El Paso,Texas,(915) 346-7911,http://www.elpasokoreanchurch.org/,Presbyterian church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Unitarian Universalist Community,4425 Byron St,El Paso,Texas,(915) 219-9279,https://uuelpaso.org/,Unitarian Universalist Church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
El Paso 5th Ward,400 Rosemont Dr,El Paso,Texas,,https://www.elpaso5thward.org/,Church of Jesus Christ of Latter-day Saints,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
In His Presence International Worship Ministries,8935 Gateway Blvd S,El Paso,Texas,,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
New Direction Church,4747 Hondo Pass Dr,El Paso,Texas,(915) 588-7279,,Pentecostal church,church,"your kermés, conferencias, aniversarios and bautizos","la kermés, conferencias, aniversarios y bautizos"
RCCG Green Pastures Sanctuary,4807 Titanic Ave,El Paso,Texas,(915) 234-2734,,Religious organization,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Place Of Purpose,8888 Dyer St #215,El Paso,Texas,(915) 238-0358,http://www.placeofpurpose.org/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
New Jerusalem COGIC,8888 Dyer St #105,El Paso,Texas,,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
True Vine Outreach Worship Center,4424 Arlen Ave,El Paso,Texas,(915) 751-6300,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
A Servants Heart Deliverance Ministry,4610 Arlen Ave,El Paso,Texas,(915) 820-5653,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Unity Missionary Baptist Church,4601 Maxwell Ave,El Paso,Texas,(915) 757-0426,http://www.unitymissionary.org/,Baptist church,church,"your Vacation Bible School, summer revivals, homecomings and outdoor baptisms","la Escuela Bíblica de Vacaciones, campañas de verano, aniversarios y bautizos al aire libre"
St Sharbel Maronite Catholic Mission - El Paso,851 Thorn Ave,El Paso,Texas,(915) 234-2303,http://stsharbelelpaso.org/,Catholic church,church,"your parish kermés, first communions, confirmaciones and outdoor masses","la kermés parroquial, primeras comuniones, confirmaciones y misas al aire libre"
Vino Nuevo - Campus Northeast,8941 Dyer St,El Paso,Texas,(915) 850-0200,http://www.vinonuevo.com/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Western Hills United Methodist Church,524 Thunderbird Dr,El Paso,Texas,(915) 584-2133,http://www.westernhillsep.org/,United Methodist church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Saint Nicholas Greek Orthodox Church,124 S Festival Dr,El Paso,Texas,(915) 833-0882,http://stnicholasep.com/,Greek Orthodox church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Christ Church El Paso,470 Eagle Dr,El Paso,Texas,(915) 584-5967,https://www.christchurchep.org/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2690235902593922650,Anglican church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Alive Church,7820 Helen of Troy Dr,El Paso,Texas,,http://alivechurchep.com/,Non-denominational church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Faith United Methodist Church,313 La Mirada Cir,El Paso,Texas,(915) 566-1654,http://www.faithumcelpaso.org/,United Methodist church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Assumption Church Hall,Byron St,El Paso,Texas,,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Holy Spirit Episcopal Church,10500 Kenworthy St,El Paso,Texas,(915) 821-1362,,Episcopal church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Mc Combs Baptist Church,10601 McCombs St,El Paso,Texas,(915) 821-5144,https://www.mccombsbaptist.org/,Baptist church,church,"your Vacation Bible School, summer revivals, homecomings and outdoor baptisms","la Escuela Bíblica de Vacaciones, campañas de verano, aniversarios y bautizos al aire libre"
Jubilee Apostolic Church,5763 Montoya Dr,El Paso,Texas,(915) 525-1210,https://www.facebook.com/share/1BMTkKVUVD/?mibextid=wwXIfr,Apostolic church,church,"your kermés, conferencias, aniversarios and bautizos","la kermés, conferencias, aniversarios y bautizos"
New Vision Church,10122 Dyer St,El Paso,Texas,(915) 777-5717,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Fresh Vision Calvary Chapel,4242 Hondo Pass Dr #101,El Paso,Texas,(915) 843-8999,http://fvccelp.com/,Calvary Chapel church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
The Door - Northeast CFM church,4525 Sun Valley Dr,El Paso,Texas,(915) 474-0905,https://the-door-northeast-el-paso.cfmsite.com/,Pentecostal church,church,"your kermés, conferencias, aniversarios and bautizos","la kermés, conferencias, aniversarios y bautizos"
Comunidad Cristiana Hechos,4984 Hondo Pass Dr,El Paso,Texas,(915) 820-0700,https://www.facebook.com/cchechos,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Vino Nuevo - Campus West,1035 Belvidere St,El Paso,Texas,(915) 850-0200,http://vinonuevo.com/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Grace Lutheran Church,9301 Diana Dr,El Paso,Texas,(915) 755-1322,https://elpgrace.org/,Lutheran church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Sun Valley Baptist Church,9901 McCombs St,El Paso,Texas,(915) 755-7232,http://www.sunvalleybaptist.com/contact/,Baptist church,church,"your Vacation Bible School, summer revivals, homecomings and outdoor baptisms","la Escuela Bíblica de Vacaciones, campañas de verano, aniversarios y bautizos al aire libre"
Third Church of Christ Scientist,100 Fountain Rd,El Paso,Texas,(915) 581-1965,https://www.elpasochristianscience.com/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Iglesia Filadelfia,5904 Threadgill Ave,El Paso,Texas,(915) 759-7010,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
El Paso Agape Mission Church,5434 Salem Dr,El Paso,Texas,,https://epamc.godaddysites.com/?,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Tobin Park UMC,9410 Roanoke Dr,El Paso,Texas,(915) 755-7146,,United Methodist church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Iglesia Fuente de Vida El Paso TX,10152 Dyer St,El Paso,Texas,(915) 258-7989,https://www.facebook.com/FUENTEDEVIDAELPASO?mibextid=LQQJ4d,Hispanic church,church,"your kermés, conferencias, aniversarios and bautizos","la kermés, conferencias, aniversarios y bautizos"
Antioch Full Gospel Church,10411 McCombs St,El Paso,Texas,(915) 274-3376,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Cole Church,,El Paso,Texas,,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
El Paso Northeast Seventh-day Adventist Church,6035 Woodrow Bean Transmountain,El Paso,Texas,(915) 209-2730,https://www.epnortheast.org/,Seventh-day Adventist church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Grace Church,,El Paso,Texas,,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Cristo Rey CTK,1500 Resler Dr Ste 101,El Paso,Texas,(915) 730-8411,https://www.youtube.com/channel/UC5vtFGmMAGRq2iafWPikU5Q,Christian church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
El Paso Central Korean Baptist Church,5307 Hondo Pass Dr,El Paso,Texas,(915) 637-5356,,Korean church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Restoration Alliance Church,9206 McCombs St,El Paso,Texas,(915) 499-0416,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Good Shephard Lutheran Church,,El Paso,Texas,,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Iglesia Delta,6236 Quail Ave,El Paso,Texas,(915) 751-7304,https://www.iglesiadelta.com/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
First United Baptist Church,5529 Threadgill Ave,El Paso,Texas,,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Life Worth Living Church,,El Paso,Texas,,,Religious institution,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Higher Calling Community Outreach Church,10122 Dyer St,El Paso,Texas,(575) 312-6316,https://www.highercallingchurchept.com/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
CITI DEL OF PRAISE,5720 Woodrow Bean Transmountain,El Paso,Texas,(915) 873-5792,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Greater Faith Church,10061 Rushing Rd,El Paso,Texas,(773) 759-6617,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
True Holiness Church El Paso,5710 Souda Dr,El Paso,Texas,(915) 274-8918,https://www.youtube.com/channel/UC-trTiEOAsdOLWnfvEymEnA,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Iglesia Bautista Colina Alta,4846 Titanic Ave,El Paso,Texas,(915) 751-5944,,Baptist church,church,"your Vacation Bible School, summer revivals, homecomings and outdoor baptisms","la Escuela Bíblica de Vacaciones, campañas de verano, aniversarios y bautizos al aire libre"
Open Door Presbytery Korean Church,3416 Atlas Ave,El Paso,Texas,(915) 755-1490,https://www.facebook.com/ElpasoOpenDoor,Presbyterian church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
엘파소 제일한인침례교회 El Paso First Korean Baptist Church,9898 Taj Mahal St,El Paso,Texas,(915) 751-7888,http://www.epfkbc.com/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Korean Catholic Church,5301 Wadsworth Ave,El Paso,Texas,(915) 821-1621,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Koinonia Fellowship Church Int'l,1060 Doniphan Park Cir,El Paso,Texas,(585) 385-0450,http://koinoniafellowship.com/,Religious organization,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
"Iglesia De Dios Pentecostal M.I Eben-Ezer, El Paso",4532 Sunrise Ave,El Paso,Texas,(915) 990-6152,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
New Apostolic Church,10354 Kenworthy St,El Paso,Texas,,http://nac-usa.org/,Apostolic church,church,"your kermés, conferencias, aniversarios and bautizos","la kermés, conferencias, aniversarios y bautizos"
Pentecostal Holiness Church,,El Paso,Texas,,,Pentecostal church,church,"your kermés, conferencias, aniversarios and bautizos","la kermés, conferencias, aniversarios y bautizos"
Christ Gospel Missionary Church,4992 Hondo Pass Dr,El Paso,Texas,,http://christgospel.org/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
El Paso Young NAK Presbyterian Church,9944 Eloice Rd,El Paso,Texas,,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Iglesia Bautista Hispana,6041 Woodrow Bean Transmountain,El Paso,Texas,(915) 751-1872,,Baptist church,church,"your Vacation Bible School, summer revivals, homecomings and outdoor baptisms","la Escuela Bíblica de Vacaciones, campañas de verano, aniversarios y bautizos al aire libre"
Iglesia Apostolica de Northeast Church,6069 Quail Ave,El Paso,Texas,,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Full Gospel Mission Korean Church,8524 Eclipse St,El Paso,Texas,(915) 315-9044,,Korean church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Iglesia Bautista International,4100 Hondo Pass Dr,El Paso,Texas,(915) 309-3397,,Baptist church,church,"your Vacation Bible School, summer revivals, homecomings and outdoor baptisms","la Escuela Bíblica de Vacaciones, campañas de verano, aniversarios y bautizos al aire libre"
Mission Apostolic Church,,El Paso,Texas,,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
New Life El Paso,7400 High Ridge Dr,El Paso,Texas,,http://www.nlelpaso.org/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Rock Of Help,6117 Quail Ave,El Paso,Texas,(915) 260-8694,,Foursquare church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Bethel F.O.R.C.E. COGIC,"Faith Out Reach Center, 7750 Alabama St",El Paso,Texas,(915) 253-9139,,Religious organization,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Iglesia Adventista del Séptimo Día Hispana de El Paso - West / El Paso West Spanish Seventh-day Adventist Church,1699 Belvidere St,El Paso,Texas,(915) 867-7473,http://elpasowesttx.adventistchurch.org/,Seventh-day Adventist church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Reaching The Harvest,8629 Leo St,El Paso,Texas,,,Church of Christ,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Bethany Christian Center,10208 Sharp Dr,El Paso,Texas,(915) 630-1154,http://www.bccelpaso.com/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Evangelical Faith Center,5125 Bragg Ave,El Paso,Texas,(915) 751-1218,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
New Direction Assembly of God,4747 Hondo Pass Dr K,El Paso,Texas,,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
New Hope Faith Center Cogic,4400 Edgar Park Ave,El Paso,Texas,(915) 755-5991,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Primera Iglesia Apostólica,4959 Hondo Pass Dr,El Paso,Texas,,https://www.facebook.com/profile.php?id=100067664982520,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Ablaze Worship at Western Hills UMC,524 Thunderbird Dr,El Paso,Texas,,,Religious institution,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
REVIVE! Centro de Restauración & Sanidad,8626 Dyer St,El Paso,Texas,,https://www.revive440.org/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Light House Ministries,,El Paso,Texas,,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Congregación Primicias De Dios,,El Paso,Texas,,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Templo Pentecostes Rey De Gloria,9574 Dyer St,El Paso,Texas,(915) 955-2687,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Western Technical College - El Paso Campus,9624 Plaza Cir,El Paso,Texas,(800) 225-5984,https://www.westerntech.edu/?utm_source=GMBlisting&utm_medium=organic,Technical school,vocational,"your open houses, recruitment events and graduation ceremonies","los open houses, eventos de reclutamiento y ceremonias de graduación"
St Matthew Religious Education & Parish Office,400 W Sunset Rd,El Paso,Texas,(915) 587-1524,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Misión Apostólica de la Fe en Cristo Jesús Inc.,5631 Saluki Dr,El Paso,Texas,(915) 751-0767,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Linaje Escogido AD,5710 Souda Dr,El Paso,Texas,,,Religious institution,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Iglesia Bautista El Camino,3900 Fillmore Ave,El Paso,Texas,(915) 562-3633,,Baptist church,church,"your Vacation Bible School, summer revivals, homecomings and outdoor baptisms","la Escuela Bíblica de Vacaciones, campañas de verano, aniversarios y bautizos al aire libre"
Iglesia Cristiana Casa de Dios,3817 Kemp Ave,El Paso,Texas,(915) 996-1086,https://casadedios.godaddysites.com/,Christian church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Salvation Army El Paso Corps,4900 Hercules Ave,El Paso,Texas,(915) 755-4168,https://southernusa.salvationarmy.org/elpaso/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Ysleta Community Learning Center,121 Padres Dr,El Paso,Texas,(915) 434-9400,https://www.yisd.net/o/communityadultlc,Adult education school,other,"your community events, registration drives and outdoor ceremonies","los eventos comunitarios, jornadas de inscripción y ceremonias al aire libre"
SISD Community Education Department,12380 Pine Springs Dr,El Paso,Texas,(915) 937-1700,https://www.sisd.net/page/community-education,Adult education school,other,"your community events, registration drives and outdoor ceremonies","los eventos comunitarios, jornadas de inscripción y ceremonias al aire libre"
Del Valle High School,950 Bordeaux Dr,El Paso,Texas,(915) 434-3000,http://www.yisd.net/delvallehigh,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Capistrano Elementary School,240 Mecca Dr,El Paso,Texas,(915) 434-8600,http://www.yisd.net/capistrano,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Presa Elementary School,128 Presa Pl,El Paso,Texas,(915) 434-8700,https://www.yisd.net/o/presa,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Iglesia Bautista El Buen,6420 Venusiano St,El Paso,Texas,(915) 777-6716,,Baptist church,church,"your Vacation Bible School, summer revivals, homecomings and outdoor baptisms","la Escuela Bíblica de Vacaciones, campañas de verano, aniversarios y bautizos al aire libre"
San Pablo Lutheran Church,301 S Schutz Dr,El Paso,Texas,(915) 858-2588,https://ylm.org/category/san-pablo-lutheran-church/,Lutheran church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Ysleta Mission,131 S Zaragoza Rd,El Paso,Texas,(915) 233-3672,https://www.ysletamission.org/about/,Catholic church,church,"your parish kermés, first communions, confirmaciones and outdoor masses","la kermés parroquial, primeras comuniones, confirmaciones y misas al aire libre"
Temple of the Devine,9001 Cashew Dr,El Paso,Texas,(915) 626-5375,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Temple of Divine Restoration,7588 N Loop Dr,El Paso,Texas,(915) 861-4275,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
The Lhakhang,500 W University Ave,El Paso,Texas,,,Buddhist temple,church,"your cultural festivals, holiday celebrations and community pujas","los festivales culturales, celebraciones de festividades y eventos comunitarios"
Bridges Academy,5700 Cromo Dr,El Paso,Texas,(915) 532-6647,http://www.bridgesacademy.org/,Special education school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Land of the Free Academy,4724 Vulcan Ave,El Paso,Texas,(903) 315-8802,http://www.landofthefreeacademy.com/class-and-range-location.html,Special education school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Barron Elementary School,11155 Whitey Ford St,El Paso,Texas,(915) 236-5075,https://www.episd.org/barron,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
