title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categories/10,categories/11,categories/12,categories/13,categories/14,categories/15,categories/16,categories/17,categories/18,categories/19,categories/20,categories/21,categories/22,url,categoryName
Third Church of Christ Scientist,4,3,100 Fountain Rd,El Paso,Texas,US,https://www.elpasochristianscience.com/,(915) 581-1965,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Third%20Church%20of%20Christ%20Scientist&query_place_id=ChIJD9FLRnb43YYRt-UHAlSY-I0,Church
Iglesia Filadelfia,4.6,12,5904 Threadgill Ave,El Paso,Texas,US,,(915) 759-7010,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Iglesia%20Filadelfia&query_place_id=ChIJu5SVMwxR54YRcak3Cyy8snI,Church
El Paso Agape Mission Church,5,2,5434 Salem Dr,El Paso,Texas,US,https://epamc.godaddysites.com/?,,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=El%20Paso%20Agape%20Mission%20Church&query_place_id=ChIJMwEond1T54YReuHfRKH8Reg,Church
Tobin Park UMC,5,5,9410 Roanoke Dr,El Paso,Texas,US,,(915) 755-7146,United Methodist church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Tobin%20Park%20UMC&query_place_id=ChIJN4cmvexR54YRxaJakT8GTEo,United Methodist church
Iglesia Fuente de Vida El Paso TX,5,3,10152 Dyer St,El Paso,Texas,US,https://www.facebook.com/FUENTEDEVIDAELPASO?mibextid=LQQJ4d,(915) 258-7989,Hispanic church,Church,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Iglesia%20Fuente%20de%20Vida%20El%20Paso%20TX&query_place_id=ChIJ93fZcwBR54YR0EClcOc4Ods,Hispanic church
Antioch Full Gospel Church,5,3,10411 McCombs St,El Paso,Texas,US,,(915) 274-3376,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Antioch%20Full%20Gospel%20Church&query_place_id=ChIJiS7Q-tlT54YRMeduvWy8RdA,Church
Cole Church,4,1,,El Paso,Texas,US,,,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Cole%20Church&query_place_id=ChIJZ14S-FVX54YRJO1_a687WuI,Church
El Paso Northeast Seventh-day Adventist Church,4.8,18,6035 Woodrow Bean Transmountain,El Paso,Texas,US,https://www.epnortheast.org/,(915) 209-2730,Seventh-day Adventist church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=El%20Paso%20Northeast%20Seventh-day%20Adventist%20Church&query_place_id=ChIJxb_Z3thT54YRUPEIyD8pbew,Seventh-day Adventist church
Grace Church,3,1,,El Paso,Texas,US,,,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Grace%20Church&query_place_id=ChIJXUeQoypR54YRemi77Z2fhSw,Church
Cristo Rey CTK,5,1,1500 Resler Dr Ste 101,El Paso,Texas,US,https://www.youtube.com/channel/UC5vtFGmMAGRq2iafWPikU5Q,(915) 730-8411,Christian church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Cristo%20Rey%20CTK&query_place_id=ChIJ9dmwcM_43YYRfaN0GY114a8,Christian church
El Paso Central Korean Baptist Church,5,6,5307 Hondo Pass Dr,El Paso,Texas,US,,(915) 637-5356,Korean church,Baptist church,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=El%20Paso%20Central%20Korean%20Baptist%20Church&query_place_id=ChIJMR7eUh9R54YRe3H6NSWQMjU,Korean church
Restoration Alliance Church,5,5,9206 McCombs St,El Paso,Texas,US,,(915) 499-0416,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Restoration%20Alliance%20Church&query_place_id=ChIJxXFM3ydR54YRcl7LdswdZ_k,Church
Good Shephard Lutheran Church,5,1,,El Paso,Texas,US,,,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Good%20Shephard%20Lutheran%20Church&query_place_id=ChIJ797aziVR54YR4VTBAQTp1aM,Church
Iglesia Delta,5,8,6236 Quail Ave,El Paso,Texas,US,https://www.iglesiadelta.com/,(915) 751-7304,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Iglesia%20Delta&query_place_id=ChIJlas1fbJR54YRW8d0bGwe7js,Church
First United Baptist Church,,,5529 Threadgill Ave,El Paso,Texas,US,,,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=First%20United%20Baptist%20Church&query_place_id=ChIJm_uaihRR54YR1bnaiyg2XNk,Church
Life Worth Living Church,,,,El Paso,Texas,US,,,Religious institution,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Life%20Worth%20Living%20Church&query_place_id=ChIJr55DsNZQ54YRNjGAincL7ww,Religious institution
Higher Calling Community Outreach Church,5,3,10122 Dyer St,El Paso,Texas,US,https://www.highercallingchurchept.com/,(575) 312-6316,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Higher%20Calling%20Community%20Outreach%20Church&query_place_id=ChIJ1UDmc5BR54YRcpXuEvBJTRc,Church
CITI DEL OF PRAISE,4.7,22,5720 Woodrow Bean Transmountain,El Paso,Texas,US,,(915) 873-5792,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=CITI%20DEL%20OF%20PRAISE&query_place_id=ChIJM9qwjm9R54YR4GEr4CyhIT8,Church
Greater Faith Church,5,1,10061 Rushing Rd,El Paso,Texas,US,,(773) 759-6617,Church,Baptist church,Christian church,Gospel church,Non-profit organization,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Greater%20Faith%20Church&query_place_id=ChIJz9GqWNFR54YRMd5l5Ws140w,Church
True Holiness Church El Paso,,,5710 Souda Dr,El Paso,Texas,US,https://www.youtube.com/channel/UC-trTiEOAsdOLWnfvEymEnA,(915) 274-8918,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=True%20Holiness%20Church%20El%20Paso&query_place_id=ChIJEaypZGNR54YRHJn4yfx4On0,Church
Iglesia Bautista Colina Alta,4.9,9,4846 Titanic Ave,El Paso,Texas,US,,(915) 751-5944,Baptist church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Iglesia%20Bautista%20Colina%20Alta&query_place_id=ChIJR7GTrtpQ54YR6awOACl9j9E,Baptist church
Open Door Presbytery Korean Church,4.7,3,3416 Atlas Ave,El Paso,Texas,US,https://www.facebook.com/ElpasoOpenDoor,(915) 755-1490,Presbyterian church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Open%20Door%20Presbytery%20Korean%20Church&query_place_id=ChIJ52sLcCVX54YR6_Dw_aNWMjU,Presbyterian church
엘파소 제일한인침례교회 El Paso First Korean Baptist Church,5,6,9898 Taj Mahal St,El Paso,Texas,US,http://www.epfkbc.com/,(915) 751-7888,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=%EC%97%98%ED%8C%8C%EC%86%8C%20%EC%A0%9C%EC%9D%BC%ED%95%9C%EC%9D%B8%EC%B9%A8%EB%A1%80%EA%B5%90%ED%9A%8C%20El%20Paso%20First%20Korean%20Baptist%20Church&query_place_id=ChIJ5RNE3W5R54YRfZLys5Ct_n8,Church
Korean Catholic Church,5,2,5301 Wadsworth Ave,El Paso,Texas,US,,(915) 821-1621,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Korean%20Catholic%20Church&query_place_id=ChIJI47ZmxRR54YRsHPtjF4UiTo,Church
Koinonia Fellowship Church Int'l,4,2,1060 Doniphan Park Cir,El Paso,Texas,US,http://koinoniafellowship.com/,(585) 385-0450,Religious organization,Church,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Koinonia%20Fellowship%20Church%20Int'l&query_place_id=ChIJEbIp_aX53YYRp-uyvow-9LQ,Religious organization
"Iglesia De Dios Pentecostal M.I Eben-Ezer, El Paso",5,18,4532 Sunrise Ave,El Paso,Texas,US,,(915) 990-6152,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Iglesia%20De%20Dios%20Pentecostal%20M.I%20Eben-Ezer%2C%20El%20Paso&query_place_id=ChIJsVtRpdVQ54YRcXh3As0Ql6s,Church
New Apostolic Church,3.2,6,10354 Kenworthy St,El Paso,Texas,US,http://nac-usa.org/,,Apostolic church,Church,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=New%20Apostolic%20Church&query_place_id=ChIJHeOtgPtT54YRdWcF031RAHM,Apostolic church
Pentecostal Holiness Church,5,1,,El Paso,Texas,US,,,Pentecostal church,Church,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Pentecostal%20Holiness%20Church&query_place_id=ChIJjfqmPSpX54YR74UyJFIDtPE,Pentecostal church
Christ Gospel Missionary Church,5,1,4992 Hondo Pass Dr,El Paso,Texas,US,http://christgospel.org/,,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Christ%20Gospel%20Missionary%20Church&query_place_id=ChIJEXoJp5FR54YRqW1otq2VGgM,Church
El Paso Young NAK Presbyterian Church,,,9944 Eloice Rd,El Paso,Texas,US,,,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=El%20Paso%20Young%20NAK%20Presbyterian%20Church&query_place_id=ChIJ2298kmhR54YRj2AFC4SDpt4,Church
Iglesia Bautista Hispana,4.9,10,6041 Woodrow Bean Transmountain,El Paso,Texas,US,,(915) 751-1872,Baptist church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Iglesia%20Bautista%20Hispana&query_place_id=ChIJHRZtQXdR54YRg4Z0123LNmA,Baptist church
Iglesia Apostolica de Northeast Church,,,6069 Quail Ave,El Paso,Texas,US,,,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Iglesia%20Apostolica%20de%20Northeast%20Church&query_place_id=ChIJ3eNZU3hR54YRBEXvkiODYQk,Church
Full Gospel Mission Korean Church,4,4,8524 Eclipse St,El Paso,Texas,US,,(915) 315-9044,Korean church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Full%20Gospel%20Mission%20Korean%20Church&query_place_id=ChIJnz9eVShX54YRw5KVNH9hW5w,Korean church
Iglesia Bautista International,4.1,10,4100 Hondo Pass Dr,El Paso,Texas,US,,(915) 309-3397,Baptist church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Iglesia%20Bautista%20International&query_place_id=ChIJUxW9qdNW54YRQ-3q8q-h4NU,Baptist church
Mission Apostolic Church,,,,El Paso,Texas,US,,,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Mission%20Apostolic%20Church&query_place_id=ChIJe7AcA2xR54YRmEM8-BmZj74,Church
New Life El Paso,5,1,7400 High Ridge Dr,El Paso,Texas,US,http://www.nlelpaso.org/,,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=New%20Life%20El%20Paso&query_place_id=ChIJ4ytks-z53YYRsloO_rkZH08,Church
Rock Of Help,5,3,6117 Quail Ave,El Paso,Texas,US,,(915) 260-8694,Foursquare church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Rock%20Of%20Help&query_place_id=ChIJsbSh1IBR54YR3mN8WPHJ-Eg,Foursquare church
Bethel F.O.R.C.E. COGIC,4.6,9,"Faith Out Reach Center, 7750 Alabama St",El Paso,Texas,US,,(915) 253-9139,Religious organization,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Bethel%20F.O.R.C.E.%20COGIC&query_place_id=ChIJYU_kUSVX54YRI9jej79pewM,Religious organization
Iglesia Adventista del Séptimo Día Hispana de El Paso - West / El Paso West Spanish Seventh-day Adventist Church,,,1699 Belvidere St,El Paso,Texas,US,http://elpasowesttx.adventistchurch.org/,(915) 867-7473,Seventh-day Adventist church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Iglesia%20Adventista%20del%20S%C3%A9ptimo%20D%C3%ADa%20Hispana%20de%20El%20Paso%20-%20West%20%2F%20El%20Paso%20West%20Spanish%20Seventh-day%20Adventist%20Church&query_place_id=ChIJNUJenX5X54YRWRlaXMy5_20,Seventh-day Adventist church
Reaching The Harvest,5,8,8629 Leo St,El Paso,Texas,US,,,Church of Christ,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Reaching%20The%20Harvest&query_place_id=ChIJiZZEGypX54YRdYDEfqr1Lr0,Church of Christ
Bethany Christian Center,5,1,10208 Sharp Dr,El Paso,Texas,US,http://www.bccelpaso.com/,(915) 630-1154,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Bethany%20Christian%20Center&query_place_id=ChIJGUN57lRR54YRBqxhfc60iFs,Church
Evangelical Faith Center,5,1,5125 Bragg Ave,El Paso,Texas,US,,(915) 751-1218,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Evangelical%20Faith%20Center&query_place_id=ChIJ__w8SN1Q54YR0kSanCDr9BE,Church
New Direction Assembly of God,,,4747 Hondo Pass Dr K,El Paso,Texas,US,,,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=New%20Direction%20Assembly%20of%20God&query_place_id=ChIJ4T6hKABR54YR25UMKoJkSlQ,Church
New Hope Faith Center Cogic,,,4400 Edgar Park Ave,El Paso,Texas,US,,(915) 755-5991,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=New%20Hope%20Faith%20Center%20Cogic&query_place_id=ChIJFUmXp9RQ54YR58TnDL8RZdg,Church
Primera Iglesia Apostólica,4.8,17,4959 Hondo Pass Dr,El Paso,Texas,US,https://www.facebook.com/profile.php?id=100067664982520,,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Primera%20Iglesia%20Apost%C3%B3lica&query_place_id=ChIJi8iPD29R54YRsIhdy0zKaqs,Church
Southwest University Lounge,,,701 N Americas Ave Ste 101,El Paso,Texas,US,https://southwestuniversity.edu/,,School center,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Southwest%20University%20Lounge&query_place_id=ChIJy6hr0ihD54YRlVwhn5nen5U,School center
Ablaze Worship at Western Hills UMC,,,524 Thunderbird Dr,El Paso,Texas,US,,,Religious institution,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Ablaze%20Worship%20at%20Western%20Hills%20UMC&query_place_id=ChIJN5OaV4dX54YRVPBD3QHuwI4,Religious institution
REVIVE! Centro de Restauración & Sanidad,5,6,8626 Dyer St,El Paso,Texas,US,https://www.revive440.org/,,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=REVIVE!%20Centro%20de%20Restauraci%C3%B3n%20%26%20Sanidad&query_place_id=ChIJ2asqHyJZ54YRp6_2SLoh_Cs,Church
Light House Ministries,,,,El Paso,Texas,US,,,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Light%20House%20Ministries&query_place_id=ChIJfU3FICRR54YRt9on9ypUyjE,Church
Congregación Primicias De Dios,,,,El Paso,Texas,US,,,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Congregaci%C3%B3n%20Primicias%20De%20Dios&query_place_id=ChIJkQBgICRR54YR5FBR0JJQsYo,Church
Templo Pentecostes Rey De Gloria,1,1,9574 Dyer St,El Paso,Texas,US,,(915) 955-2687,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Templo%20Pentecostes%20Rey%20De%20Gloria&query_place_id=ChIJw8WtBQBR54YRE8opYuGTiec,Church
Western Technical College - El Paso Campus,4.2,310,9624 Plaza Cir,El Paso,Texas,US,https://www.westerntech.edu/?utm_source=GMBlisting&utm_medium=organic,(800) 225-5984,Technical school,Adult education school,College,Massage school,Trade school,Training center,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Western%20Technical%20College%20-%20El%20Paso%20Campus&query_place_id=ChIJd9VSs5VC54YRxTqY5Q0qw3Q,Technical school
St Matthew Religious Education & Parish Office,4.7,3,400 W Sunset Rd,El Paso,Texas,US,,(915) 587-1524,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=St%20Matthew%20Religious%20Education%20%26%20Parish%20Office&query_place_id=ChIJPQ78S0343YYRzdeYSWcyjug,Church
Misión Apostólica de la Fe en Cristo Jesús Inc.,5,2,5631 Saluki Dr,El Paso,Texas,US,,(915) 751-0767,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Misi%C3%B3n%20Apost%C3%B3lica%20de%20la%20Fe%20en%20Cristo%20Jes%C3%BAs%20Inc.&query_place_id=ChIJDb_7JGxR54YR9LhiBh9k9nI,Church
Linaje Escogido AD,4.4,13,5710 Souda Dr,El Paso,Texas,US,,,Religious institution,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Linaje%20Escogido%20AD&query_place_id=ChIJ328fR29R54YRRx5FPEsZXmw,Religious institution
Iglesia Bautista El Camino,4.2,6,3900 Fillmore Ave,El Paso,Texas,US,,(915) 562-3633,Baptist church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Iglesia%20Bautista%20El%20Camino&query_place_id=ChIJmcoJ-lVX54YRttXesglupwQ,Baptist church
Iglesia Cristiana Casa de Dios,5,5,3817 Kemp Ave,El Paso,Texas,US,https://casadedios.godaddysites.com/,(915) 996-1086,Christian church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Iglesia%20Cristiana%20Casa%20de%20Dios&query_place_id=ChIJS8S_jAdX54YRon8bqHOVN9Q,Christian church
Salvation Army El Paso Corps,4.2,21,4900 Hercules Ave,El Paso,Texas,US,https://southernusa.salvationarmy.org/elpaso/,(915) 755-4168,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Salvation%20Army%20El%20Paso%20Corps&query_place_id=ChIJtd_lV9pQ54YR8k-uV4i5DYo,Church
Ysleta Community Learning Center,4.5,61,121 Padres Dr,El Paso,Texas,US,https://www.yisd.net/o/communityadultlc,(915) 434-9400,Adult education school,English language school,Technical school,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Ysleta%20Community%20Learning%20Center&query_place_id=ChIJ7fQaPtdC54YRqexW03PN1Qg,Adult education school
SISD Community Education Department,4.9,23,12380 Pine Springs Dr,El Paso,Texas,US,https://www.sisd.net/page/community-education,(915) 937-1700,Adult education school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=SISD%20Community%20Education%20Department&query_place_id=ChIJBYE9QdFp54YRtosancD9f2s,Adult education school
Del Valle High School,,,950 Bordeaux Dr,El Paso,Texas,US,http://www.yisd.net/delvallehigh,(915) 434-3000,High school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Del%20Valle%20High%20School&query_place_id=ChIJz2VkiVdC54YRuwr35ZtTl6E,High school
Capistrano Elementary School,,,240 Mecca Dr,El Paso,Texas,US,http://www.yisd.net/capistrano,(915) 434-8600,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Capistrano%20Elementary%20School&query_place_id=ChIJIdj4ddFC54YRYYdmEv0q704,Elementary school
Presa Elementary School,,,128 Presa Pl,El Paso,Texas,US,https://www.yisd.net/o/presa,(915) 434-8700,Elementary school,Public educational institution,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Presa%20Elementary%20School&query_place_id=ChIJTaxuKuZC54YRDslExrK48Bw,Elementary school
Iglesia Bautista El Buen,5,2,6420 Venusiano St,El Paso,Texas,US,,(915) 777-6716,Baptist church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Iglesia%20Bautista%20El%20Buen&query_place_id=ChIJG62uwtL-3YYRXA_O9cf6fRU,Baptist church
San Pablo Lutheran Church,4.8,33,301 S Schutz Dr,El Paso,Texas,US,https://ylm.org/category/san-pablo-lutheran-church/,(915) 858-2588,Lutheran church,Religious organization,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=San%20Pablo%20Lutheran%20Church&query_place_id=ChIJ1wD929pC54YRmU_1133m_gg,Lutheran church
Ysleta Mission,4.8,439,131 S Zaragoza Rd,El Paso,Texas,US,https://www.ysletamission.org/about/,(915) 233-3672,Catholic church,Tourist attraction,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Ysleta%20Mission&query_place_id=ChIJZ7aujdxC54YRtT8iOg2z5Mo,Catholic church
Temple of the Devine,,,9001 Cashew Dr,El Paso,Texas,US,,(915) 626-5375,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Temple%20of%20the%20Devine&query_place_id=ChIJRzSGExtD54YRRzih5DPNjII,Church
Temple of Divine Restoration,5,8,7588 N Loop Dr,El Paso,Texas,US,,(915) 861-4275,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Temple%20of%20Divine%20Restoration&query_place_id=ChIJt3DoFCJb54YRP7DRaZxh3_c,Church
The Lhakhang,4.5,2,500 W University Ave,El Paso,Texas,US,,,Buddhist temple,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=The%20Lhakhang&query_place_id=ChIJHXAL_ntZ54YR372A0PC_4T4,Buddhist temple
Bridges Academy,,,5700 Cromo Dr,El Paso,Texas,US,http://www.bridgesacademy.org/,(915) 532-6647,Special education school,Non-profit organization,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Bridges%20Academy&query_place_id=ChIJEQSTJ6tZ54YRZ9bWNfgGPOM,Special education school
Land of the Free Academy,,,4724 Vulcan Ave,El Paso,Texas,US,http://www.landofthefreeacademy.com/class-and-range-location.html,(903) 315-8802,Special education school,School,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Land%20of%20the%20Free%20Academy&query_place_id=ChIJnQ1zUs5Q54YRhSm7__tC-ao,Special education school
Barron Elementary School,,,11155 Whitey Ford St,El Paso,Texas,US,https://www.episd.org/barron,(915) 236-5075,Elementary school,Primary school,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Barron%20Elementary%20School&query_place_id=ChIJ_9AMyLhT54YRqG9zqrjMucw,Elementary school
IDEA Mesquite Hills,,,11881 Dyer St,El Paso,Texas,US,https://ideapublicschools.org/our-schools/idea-mesquite-hills,(915) 888-4700,Public educational institution,Elementary school,High school,Kindergarten,Middle school,Preschool,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=IDEA%20Mesquite%20Hills&query_place_id=ChIJ-d4foklT54YRh-r_GQcQDpA,Public educational institution
North Star Elementary School,,,5950 Sean Haggerty Dr,El Paso,Texas,US,https://www.yisd.net/northstar,(915) 434-6700,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=North%20Star%20Elementary%20School&query_place_id=ChIJO0G4TslT54YRdEpbD9lDGFU,Elementary school
Tom Lea Elementary School,,,4851 Marcus Uribe Dr,El Paso,Texas,US,https://www.episd.org/tomlea,(915) 230-5450,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Tom%20Lea%20Elementary%20School&query_place_id=ChIJ1TwHP45T54YRSvfclUHwWD8,Elementary school
Nolan Richardson Middle School,,,11350 Loma Franklin Dr,El Paso,Texas,US,http://richardson.episd.org/,(915) 236-6650,Middle school,Club,Community health center,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Nolan%20Richardson%20Middle%20School&query_place_id=ChIJd3TvYwJZ54YRat5Xy0HEVjM,Middle school
Dr. Lawrence A. Nixon Elementary School,,,11141 Loma Roja Dr,El Paso,Texas,US,https://www.episd.org/o/nies,(915) 236-5900,Elementary school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Dr.%20Lawrence%20A.%20Nixon%20Elementary%20School&query_place_id=ChIJU4DtZIlT54YRPcCQhFyZ3wQ,Elementary school
nixon elementary,,,11141 Loma Roja Dr,El Paso,Texas,US,https://www.episd.org/o/nies,(915) 236-5900,Elementary school,Educational institution,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=nixon%20elementary&query_place_id=ChIJcfEHGwBT54YRPcbE0tqqw4w,Elementary school
Smiles & Dimples Childcare,,,11280 Northview Dr,El Paso,Texas,US,,(915) 248-9872,Preschool,Child care agency,Day care center,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Smiles%20%26%20Dimples%20Childcare&query_place_id=ChIJgxHyDo9T54YRW2H7S71O1Ms,Preschool
El Paso Community College - Administrative Services Center - EPCC ASC,4.5,78,9050 Viscount Blvd,El Paso,Texas,US,http://www.epcc.edu/,(915) 831-3722,Community college,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=El%20Paso%20Community%20College%20-%20Administrative%20Services%20Center%20-%20EPCC%20ASC&query_place_id=ChIJFYdOGxhb54YRF3X5ShiukWg,Community college
"College, Career & Technology Academy",,,2851 Grant Ave,El Paso,Texas,US,https://www.episd.org/CCTA,(915) 236-7700,High school,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=College%2C%20Career%20%26%20Technology%20Academy&query_place_id=ChIJURuZFpZZ54YRtnKFD5ppvVM,High school
El Paso Comunity college,,,10826 Pellicano Dr,El Paso,Texas,US,,,University,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=El%20Paso%20Comunity%20college&query_place_id=ChIJ7aoHVBFF54YRHsQ1cQF-ABM,University
House of Prayer Church of God,4.8,12,5940 Sean Haggerty Dr,El Paso,Texas,US,https://houseofprayerelpaso.org/,(915) 821-1810,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=House%20of%20Prayer%20Church%20of%20God&query_place_id=ChIJUSWxLM9T54YRLkncACHiCuI,Church
Good News El Paso Church,5,7,4752 Robert Acosta Dr,El Paso,Texas,US,https://www.facebook.com/goodnewselpaso,(915) 757-5055,Church,,,,,,,,,,,,,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Good%20News%20El%20Paso%20Church&query_place_id=ChIJjVNOAtBQ54YR8eP8NG2V7-c,Church
